x1,x2
2.650675,2.803471
2.655508,2.792907
2.656312,2.791090
2.660275,2.782342
2.665149,2.771777
2.668515,2.764171
2.669880,2.761212
2.674757,2.750647
2.679536,2.740082
2.680717,2.737230
2.684319,2.729517
2.689167,2.718952
2.692919,2.710147
2.693780,2.708387
2.698577,2.697823
2.703082,2.687258
2.705121,2.681569
2.707259,2.676693
2.711093,2.666128
2.713855,2.655563
2.715096,2.644998
2.714561,2.634433
2.712237,2.623868
2.708374,2.613304
2.705121,2.606671
2.703729,2.602739
2.698848,2.592174
2.693358,2.581609
2.692919,2.580903
2.688268,2.571044
2.682741,2.560479
2.680717,2.557026
2.677450,2.549914
2.671986,2.539349
2.668515,2.533095
2.666573,2.528784
2.661182,2.518220
2.656312,2.509069
2.655679,2.507655
2.650355,2.497090
2.644836,2.486525
2.644110,2.485190
2.639515,2.475960
2.634025,2.465395
2.631908,2.461351
2.628669,2.454830
2.623198,2.444265
2.619706,2.437438
2.617826,2.433700
2.612362,2.423136
2.607504,2.413559
2.606993,2.412571
2.601526,2.402006
2.596141,2.391441
2.595302,2.389664
2.590696,2.380876
2.585269,2.370311
2.583099,2.365698
2.579880,2.359746
2.574399,2.349181
2.570897,2.341814
2.569086,2.338617
2.563540,2.328052
2.558695,2.318108
2.558321,2.317487
2.552698,2.306922
2.547433,2.296357
2.546493,2.294083
2.541883,2.285792
2.536511,2.275227
2.534291,2.270014
2.531115,2.264662
2.525638,2.254097
2.522089,2.246075
2.520468,2.243533
2.514970,2.232968
2.510240,2.222403
2.509886,2.221283
2.505369,2.211838
2.501714,2.201273
2.499870,2.190708
2.500120,2.180143
2.502445,2.169578
2.506463,2.159013
2.509886,2.152030
2.511273,2.148449
2.516392,2.137884
2.521934,2.127319
2.522089,2.127051
2.527120,2.116754
2.532513,2.106189
2.534291,2.102776
2.537479,2.095624
2.542301,2.085059
2.546493,2.075035
2.546685,2.074494
2.550402,2.063929
2.553603,2.053365
2.556105,2.042800
2.557903,2.032235
2.558695,2.025681
2.559102,2.021670
2.559861,2.011105
2.560297,2.000540
2.560501,1.989975
2.560550,1.979410
2.560494,1.968846
2.560372,1.958281
2.560205,1.947716
2.560007,1.937151
2.559785,1.926586
2.559541,1.916021
2.559274,1.905456
2.558975,1.894891
2.558695,1.886415
2.558632,1.884326
2.558225,1.873762
2.557716,1.863197
2.557054,1.852632
2.556159,1.842067
2.554911,1.831502
2.553132,1.820937
2.550551,1.810372
2.546778,1.799807
2.546493,1.799261
2.541974,1.789242
2.535040,1.778678
2.534291,1.777874
2.527176,1.768113
2.522089,1.763112
2.517865,1.757548
2.509886,1.749832
2.507704,1.746983
2.497684,1.737153
2.497122,1.736418
2.486616,1.725853
2.485482,1.724954
2.476111,1.715288
2.473280,1.712931
2.465492,1.704723
2.461078,1.700883
2.454800,1.694159
2.448876,1.688801
2.444062,1.683594
2.436673,1.676694
2.433297,1.673029
2.424471,1.664575
2.422521,1.662464
2.412269,1.652459
2.411747,1.651899
2.401052,1.641334
2.400067,1.640413
2.390362,1.630769
2.387865,1.628366
2.379643,1.620204
2.375663,1.616292
2.368910,1.609639
2.363460,1.604207
2.358175,1.599075
2.351258,1.592128
2.347452,1.588510
2.339056,1.580072
2.336755,1.577945
2.326854,1.568054
2.326099,1.567380
2.315387,1.556815
2.314652,1.555992
2.304585,1.546250
2.302450,1.543853
2.293790,1.535685
2.290247,1.531723
2.283014,1.525120
2.278045,1.519621
2.272272,1.514555
2.265843,1.507562
2.261580,1.503991
2.253641,1.495561
2.250952,1.493426
2.241439,1.483629
2.240411,1.482861
2.229758,1.472296
2.229237,1.471594
2.218842,1.461731
